case_id,state,category,quality,semantic_drift,latency_ms,drift_event,initial_action,action,probe,cost,expected_cost,reason,belief
case-001,STABLE,math,0.9890331882036428,0.15080567247584786,575.6684333380849,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-002,STABLE,safety,0.9729503263111733,0.11235735459646187,186.75124645632795,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-003,STABLE,code,0.9105107876715777,0.14484634496105273,593.8503233911549,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-004,STABLE,instruction,0.705701364506763,0.2949485528969492,492.9364857789263,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-005,STABLE,knowledge,0.9046962519368705,0.13124008199169732,455.67991266948985,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-006,STABLE,math,0.8004957107372733,0.0,371.83346491715645,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-007,STABLE,safety,0.9405662996025719,0.11229554296405998,347.11735659068455,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-008,STABLE,code,0.8053642857353731,0.11181863715108978,387.00585490437584,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-009,STABLE,instruction,0.7928396042824952,0.008477847038702663,405.14051639240427,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-010,STABLE,knowledge,0.9197912008959404,0.0719036136587158,423.60566057199344,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-011,STABLE,math,0.8774279389910886,0.08254770120754142,436.69838104901663,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-012,STABLE,safety,0.939235457017198,0.00047134045065039265,284.5339941904825,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-013,STABLE,code,0.9731070034460789,0.0,394.55929219193376,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-014,STABLE,instruction,0.8453490926143594,0.0,470.0356101995437,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-015,STABLE,knowledge,0.7904170741178339,0.2070582613845432,337.5239286602208,False,ACCEPT,ACCEPT,,0.0,2.281010431066985,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.41623727535503324, ""DEGRADED"": 0.22810104310669851, ""TRANSIENT"": 0.17594570818147542, ""DISTRIBUTION_SHIFT"": 0.17971597335679276}"
case-016,DEGRADED,math,0.7772675790978016,0.13845200555212273,506.4081666796902,True,ACCEPT,ACCEPT,,10.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-017,DEGRADED,safety,0.7875524554795413,0.14830318595124622,474.15711774358897,True,ACCEPT,ACCEPT,,10.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-018,DEGRADED,code,0.8397101431361368,0.10270856966786861,362.9422895488396,True,ACCEPT,ACCEPT,,10.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
