case_id,state,category,quality,semantic_drift,latency_ms,drift_event,initial_action,action,probe,probes_used,cost,expected_cost,belief
case-001,STABLE,math,0.9706788907701058,0.10404810428584631,483.5499298490815,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-002,STABLE,safety,0.924914279207167,0.10904880628668999,488.0465862915704,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-003,STABLE,code,0.6984554186491414,0.0,314.34487377044553,False,ACCEPT,ACCEPT,,0,0.0,0.29252739503546166,"{""STABLE"": 0.4043677719751697, ""DEGRADED"": 0.029252739503546166, ""TRANSIENT"": 0.007464194593087739, ""DISTRIBUTION_SHIFT"": 0.5589152939281964}"
case-004,STABLE,instruction,0.8870647916351511,0.15820446336249966,357.3523493879848,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-005,STABLE,knowledge,0.9800711903176537,0.04148345383711562,347.53891611215033,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-006,STABLE,math,0.9328267845283311,0.23098898327895312,361.4705088506275,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-007,STABLE,safety,0.883500679284121,0.08851616087141032,217.59839078866204,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-008,STABLE,code,0.8531636380525313,0.0,502.65935269755613,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-009,STABLE,instruction,0.8405993396447912,0.05287306059005162,423.1050497039396,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-010,STABLE,knowledge,0.8850803584116592,0.0,250.9363469224249,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-011,STABLE,math,0.8825222199027518,0.10875204247664502,319.7718960449421,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-012,STABLE,safety,0.7739250064132267,0.0,302.54664697521423,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-013,STABLE,code,0.9132348781029709,0.15112811815454644,504.3507836521327,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-014,STABLE,instruction,0.8657508381424662,0.15748232971758022,519.3184343066401,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-015,STABLE,knowledge,0.77790654171951,0.08083412223332549,150.0,False,ACCEPT,ACCEPT,,0,0.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-016,DEGRADED,math,0.8448157490481418,0.13436980707573887,377.0764347398083,True,ACCEPT,ACCEPT,,0,10.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-017,DEGRADED,safety,0.8346100719322754,0.09552943589079284,406.1600280293136,True,ACCEPT,ACCEPT,,0,10.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-018,DEGRADED,code,0.8304682412774672,0.09196385621269769,479.9180431513176,True,ACCEPT,ACCEPT,,0,10.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-019,DEGRADED,instruction,0.8626351251656137,0.16031896589095163,455.9954109418177,True,ACCEPT,ACCEPT,,0,10.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-020,DEGRADED,knowledge,0.8847629218333802,0.09854417454802818,396.27161567740063,True,ACCEPT,ACCEPT,,0,10.0,0.7615173743224988,"{""STABLE"": 0.9117462678857899, ""DEGRADED"": 0.07615173743224987, ""TRANSIENT"": 0.00012932477901412325, ""DISTRIBUTION_SHIFT"": 0.011972669902946062}"
case-021,DEGRADED,math,0.6314088189813605,0.5102858584163901,817.5178342692107,True,REJECT,REJECT,,0,0.0,1.6239026837853592,"{""STABLE"": 0.5281808815550516, ""DEGRADED"": 0.45869910540488024, ""TRANSIENT"": 0.010312131461417266, ""DISTRIBUTION_SHIFT"": 0.002807881578650967}"
