seed,policy,decision_cost,false_accept,false_reject,investigations,probe_calls,event_recall,event_precision,brier
0,baseline,232.0,24,2,0,0,0.5294117647058824,0.9310344827586207,
0,binary_naive,231.0,27,2,0,0,0.47058823529411764,0.9230769230769231,0.17079513677778682
0,binary,276.0,39,1,0,0,0.23529411764705882,0.9230769230769231,0.1357508308017755
0,state_direct,201.0,17,3,0,0,0.6666666666666666,0.918918918918919,0.1357508308017755
0,random_acquire,146.0,7,2,120,120,0.8627450980392157,0.9565217391304348,0.07420209824584888
0,always_acquire,99.00000000000003,2,3,120,120,0.9607843137254902,0.9423076923076923,0.039362544845983144
0,eig_one_step,89.00000000000003,1,1,120,120,0.9803921568627451,0.9803921568627451,0.020842611056450546
0,voi_one_step,84.60000000000001,2,3,84,84,0.9607843137254902,0.9423076923076923,0.037005901780314314
0,active,79.00000000000001,2,1,84,85,0.9607843137254902,0.98,0.023580405611776763
1,baseline,229.0,25,2,0,0,0.5098039215686274,0.9285714285714286,
1,binary_naive,239.0,29,2,0,0,0.43137254901960786,0.9166666666666666,0.1728330159928962
1,binary,263.0,37,1,0,0,0.27450980392156865,0.9333333333333333,0.13557762654205663
1,state_direct,197.0,16,3,0,0,0.6862745098039216,0.9210526315789473,0.13557762654205663
1,random_acquire,171.99999999999994,9,2,120,120,0.8235294117647058,0.9545454545454546,0.08347393440706494
1,always_acquire,89.00000000000003,1,1,120,120,0.9803921568627451,0.9803921568627451,0.018839205630827527
1,eig_one_step,86.00000000000003,1,0,120,120,0.9803921568627451,1.0,0.013821951737533787
1,voi_one_step,77.20000000000002,1,2,83,83,0.9803921568627451,0.9615384615384616,0.02503422072102968
1,active,75.00000000000001,1,1,84,85,0.9803921568627451,0.9803921568627451,0.01859470450316213
2,baseline,239.0,25,3,0,0,0.5098039215686274,0.896551724137931,
2,binary_naive,243.0,30,2,0,0,0.4117647058823529,0.9130434782608695,0.18210734560611813
2,binary,273.0,37,2,0,0,0.27450980392156865,0.875,0.15631215001257628
2,state_direct,207.0,17,5,0,0,0.6666666666666666,0.8717948717948718,0.15631215001257628
2,random_acquire,194.99999999999997,11,5,120,120,0.7843137254901961,0.8888888888888888,0.11485660584876817
2,always_acquire,104.00000000000003,1,4,120,120,0.9803921568627451,0.9259259259259259,0.03074503534687301
2,eig_one_step,89.00000000000003,1,1,120,120,0.9803921568627451,0.9803921568627451,0.021033215960197478
2,voi_one_step,94.60000000000001,3,3,84,84,0.9411764705882353,0.9411764705882353,0.04318576911992902
2,active,95.0,3,3,84,85,0.9411764705882353,0.9411764705882353,0.04293027972575248
3,baseline,236.0,26,3,0,0,0.49019607843137253,0.8928571428571429,
3,binary_naive,249.0,32,2,0,0,0.37254901960784315,0.9047619047619048,0.1881693504817476
3,binary,273.0,38,1,0,0,0.2549019607843137,0.9285714285714286,0.15414774928804856
3,state_direct,208.0,18,4,0,0,0.6470588235294118,0.8918918918918919,0.15414774928804856
3,random_acquire,173.0,10,3,120,120,0.803921568627451,0.9318181818181818,0.09669985683903344
3,always_acquire,102.00000000000003,2,4,120,120,0.9607843137254902,0.9245283018867925,0.04432736670733493
3,eig_one_step,90.00000000000003,2,0,120,120,0.9607843137254902,1.0,0.016278604550619143
3,voi_one_step,106.8,4,4,82,82,0.9215686274509803,0.9215686274509803,0.06262280099814424
3,active,81.60000000000002,2,2,82,84,0.9607843137254902,0.9607843137254902,0.03427483593596424
4,baseline,218.0,22,2,0,0,0.5686274509803921,0.9354838709677419,
4,binary_naive,233.0,27,2,0,0,0.47058823529411764,0.9230769230769231,0.17825509282467514
4,binary,279.0,39,2,0,0,0.23529411764705882,0.8571428571428571,0.14367919643140048
4,state_direct,200.0,16,4,0,0,0.6862745098039216,0.8974358974358975,0.14367919643140048
4,random_acquire,135.0,5,3,120,120,0.9019607843137255,0.9387755102040817,0.0794455718650884
4,always_acquire,101.00000000000001,1,3,120,120,0.9803921568627451,0.9433962264150944,0.02990741832367816
4,eig_one_step,96.00000000000001,2,0,120,120,0.9607843137254902,1.0,0.020136400328033946
4,voi_one_step,79.80000000000001,1,3,82,82,0.9803921568627451,0.9433962264150944,0.029787418913512772
4,active,79.80000000000001,1,3,82,82,0.9803921568627451,0.9433962264150944,0.029787418913512772
5,baseline,241.0,27,2,0,0,0.47058823529411764,0.9230769230769231,
5,binary_naive,239.0,29,2,0,0,0.43137254901960786,0.9166666666666666,0.17674885849714858
5,binary,269.0,36,2,0,0,0.29411764705882354,0.8823529411764706,0.14276950359589488
5,state_direct,198.0,17,2,0,0,0.6666666666666666,0.9444444444444444,0.14276950359589488
5,random_acquire,166.0,9,2,120,120,0.8235294117647058,0.9545454545454546,0.09075213152101684
5,always_acquire,93.00000000000003,2,1,120,120,0.9607843137254902,0.98,0.030135731899790498
5,eig_one_step,90.00000000000003,2,0,120,120,0.9607843137254902,1.0,0.014252897412001706
5,voi_one_step,79.80000000000001,2,1,87,87,0.9607843137254902,0.98,0.028814254759753088
5,active,75.80000000000001,1,1,87,87,0.9803921568627451,0.9803921568627451,0.02082323126047715
6,baseline,228.0,24,3,0,0,0.5294117647058824,0.9,
6,binary_naive,243.0,31,2,0,0,0.39215686274509803,0.9090909090909091,0.1729349937819693
6,binary,262.0,37,1,0,0,0.27450980392156865,0.9333333333333333,0.1405306254202566
6,state_direct,204.0,17,4,0,0,0.6666666666666666,0.8947368421052632,0.1405306254202566
6,random_acquire,173.0,10,3,120,120,0.803921568627451,0.9318181818181818,0.09224914127436125
6,always_acquire,105.00000000000001,2,5,120,120,0.9607843137254902,0.9074074074074074,0.04011837016700947
6,eig_one_step,90.00000000000003,2,0,120,120,0.9607843137254902,1.0,0.024333695402032455
6,voi_one_step,91.40000000000002,2,3,86,86,0.9607843137254902,0.9423076923076923,0.03844720573407334
6,active,90.2,3,1,86,88,0.9411764705882353,0.9795918367346939,0.03291471441526907
7,baseline,225.0,23,3,0,0,0.5490196078431373,0.9032258064516129,
7,binary_naive,233.0,27,2,0,0,0.47058823529411764,0.9230769230769231,0.1739185345793408
7,binary,273.0,37,2,0,0,0.27450980392156865,0.875,0.1617733550502715
7,state_direct,207.0,17,5,0,0,0.6666666666666666,0.8717948717948718,0.1617733550502715
7,random_acquire,190.99999999999994,10,5,120,120,0.803921568627451,0.8913043478260869,0.10041893027217404
7,always_acquire,112.00000000000001,3,4,120,120,0.9411764705882353,0.9230769230769231,0.04603261501388039
7,eig_one_step,92.00000000000003,1,2,120,120,0.9803921568627451,0.9615384615384616,0.02667845185538584
7,voi_one_step,84.00000000000001,2,2,90,90,0.9607843137254902,0.9607843137254902,0.030282085462623107
