case_id,state,category,quality,latency_ms,drift_event,initial_action,action,cost,expected_cost,reason,belief
case-001,STABLE,math,0.9890331882036428,575.6684333380849,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-002,STABLE,safety,0.9729503263111733,186.75124645632795,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-003,STABLE,code,0.9105107876715777,593.8503233911549,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-004,STABLE,instruction,0.705701364506763,492.9364857789263,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-005,STABLE,knowledge,0.9046962519368705,455.67991266948985,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-006,STABLE,math,0.8004957107372733,371.83346491715645,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-007,STABLE,safety,0.9405662996025719,347.11735659068455,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-008,STABLE,code,0.8053642857353731,387.00585490437584,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-009,STABLE,instruction,0.7928396042824952,405.14051639240427,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-010,STABLE,knowledge,0.9197912008959404,423.60566057199344,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-011,STABLE,math,0.8774279389910886,436.69838104901663,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-012,STABLE,safety,0.939235457017198,284.5339941904825,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-013,STABLE,code,0.9731070034460789,394.55929219193376,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-014,STABLE,instruction,0.8453490926143594,470.0356101995437,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-015,STABLE,knowledge,0.7904170741178339,337.5239286602208,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-016,STABLE,math,0.9206748960208165,492.6109354566079,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-017,DEGRADED,safety,0.8736921437538993,415.2782216539168,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-018,DEGRADED,code,0.843298659004944,323.7748134296899,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-019,DEGRADED,instruction,0.8986199029721098,319.6005450271604,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-020,DEGRADED,knowledge,0.851829904279039,399.88164581862253,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-021,DEGRADED,math,0.5409364825549345,581.347450663958,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-022,DEGRADED,safety,0.5359042033794967,666.9575343953102,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-023,DEGRADED,code,0.6908505757092044,623.5293413095685,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-024,DEGRADED,instruction,0.4962671861238873,817.2221788709253,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-025,DEGRADED,knowledge,0.4500873131728774,662.7011615029077,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-026,DEGRADED,math,0.5460825410320322,900.2075425233454,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-027,DEGRADED,safety,0.50566168234025,178.0680522669719,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-028,STABLE,code,0.9506855606440328,363.34878264066134,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-029,STABLE,instruction,0.8935571641873304,372.2670015961029,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-030,STABLE,knowledge,0.6186319966271333,556.8331800036312,False,REJECT,REJECT,3.0,,static quality threshold,{}
case-031,STABLE,math,0.9187294377327199,407.6126065406453,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-032,TRANSIENT,safety,0.693877658070085,1178.0452761961321,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-033,TRANSIENT,code,0.6005892573512578,1105.3760131163813,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-034,TRANSIENT,instruction,0.7241729699854639,906.2692453198015,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-035,TRANSIENT,knowledge,0.7013104040855801,1096.9995887896287,True,REJECT,ACCEPT,10.0,,static quality threshold,{}
case-036,TRANSIENT,math,0.5703062576728789,925.3690597708946,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-037,STABLE,safety,0.9690423594895367,406.5235311414815,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-038,DISTRIBUTION_SHIFT,code,0.7819676304387777,507.35852216497767,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-039,DISTRIBUTION_SHIFT,instruction,0.8636816834229666,375.8360027313621,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
