case_id,state,category,quality,latency_ms,drift_event,initial_action,action,cost,expected_cost,reason,belief
case-001,STABLE,math,0.9890331882036428,575.6684333380849,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-002,STABLE,safety,0.9729503263111733,186.75124645632795,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-003,STABLE,code,0.9105107876715777,593.8503233911549,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-004,STABLE,instruction,0.705701364506763,492.9364857789263,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-005,STABLE,knowledge,0.9046962519368705,455.67991266948985,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-006,STABLE,math,0.8004957107372734,371.83346491715645,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-007,STABLE,safety,0.9405662996025719,347.11735659068455,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-008,STABLE,code,0.8053642857353731,387.00585490437584,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-009,STABLE,instruction,0.7928396042824952,405.14051639240427,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-010,STABLE,knowledge,0.9197912008959404,423.60566057199344,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
